mã sự kiện,tiêu đề sự kiện,tiêu đề sự kiện (tiếng Anh),ngày công bố,ngày thực hiện,liên kết nguồn,mã loại sự kiện,tỷ lệ,giá trị,ngày chốt quyền,ngày không hưởng quyền,tên loại sự kiện,tên loại sự kiện (tiếng Anh),mã chứng khoán
32762496,CTR - Trả cổ tức Đợt 2 năm 2022 bằng tiền 1919 đồng/cổ phiếu,CTR - Pay cash dividend 2022 - Interim 2 at VND 1919/share,2024-01-10,2024-02-06T00:00:00,http://fiinpro.com/News/Detail/11044412?lang=vi-vn,DIV,0.1919,1919,2024-01-19T00:00:00,2024-01-18,Trả cổ tức bằng tiền mặt,Cash Dividend,CTR
44495138,CTR - Trả cổ tức Cả năm năm 2023 bằng tiền 2720 đồng/cổ phiếu,CTR - Pay cash dividend 2023 - Year at VND 2720/share,2024-09-24,2024-10-18T00:00:00,http://fiinpro.com/News/Detail/11327116?lang=vi-vn,DIV,0.272,2720,2024-09-30T00:00:00,2024-09-27,Trả cổ tức bằng tiền mặt,Cash Dividend,CTR
56864150,CTS - Phát hành cổ phiếu trả cổ tức tỷ lệ 43%,CTS - Issues dividend shares at 43%,2025-05-29,2025-06-05T00:00:00,http://fiinpro.com/News/Detail/11590920?lang=vi-vn,ISS,0.43,0,2025-06-06T00:00:00,2025-06-05,Phát hành cổ phiếu,Share Issue,CTS
59463469,CTS - Niêm yết bổ sung 63.955.127 cổ phiếu,"CTS- Lists additional 63,955,127 shares",2025-07-17,2025-07-16T00:00:00,http://fiinpro.com/News/Detail/11636433?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,CTS
60186618,DBC - Phát hành cổ phiếu trả cổ tức tỷ lệ 15%,DBC - Issues dividend shares at 15%,2025-07-31,2025-08-07T00:00:00,http://fiinpro.com/News/Detail/11657672?lang=vi-vn,ISS,0.15,0,2025-08-08T00:00:00,2025-08-07,Phát hành cổ phiếu,Share Issue,DBC
44482011,DBC - Niêm yết bổ sung 92.667.286 cổ phiếu,"DBC- Lists additional 92,667,286 shares",2024-09-24,2024-09-24T00:00:00,http://fiinpro.com/News/Detail/11326888?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,DBC
40826174,DBC - Phát hành cổ phiếu cho cổ đông hiện hữu tỷ lệ 3 : 1 giá 15.000 đồng/cp,"DBC - Issues additional shares for existing shareholders at 3 : 1 at VND 15,000/share",2024-07-10,2024-07-15T00:00:00,http://fiinpro.com/News/Detail/11251289?lang=vi-vn,ISS,0.33333333,0,2024-07-16T00:00:00,2024-07-15,Phát hành cổ phiếu,Share Issue,DBC
26532842,DCM - Trả cổ tức Cả năm năm 2022 bằng tiền 3000 đồng/cổ phiếu,DCM - Pay cash dividend 2022 - Year at VND 3000/share,2023-08-18,2023-09-11T00:00:00,http://fiinpro.com/News/Detail/10902101?lang=vi-vn,DIV,0.3,3000,2023-08-30T00:00:00,2023-08-29,Trả cổ tức bằng tiền mặt,Cash Dividend,DCM
58100085,DCM - Trả cổ tức Cả năm năm 2024 bằng tiền 2000 đồng/cổ phiếu,DCM - Pay cash dividend 2024 - Year at VND 2000/share,2025-06-20,2025-07-15T00:00:00,http://fiinpro.com/News/Detail/11604752?lang=vi-vn,DIV,0.2,2000,2025-06-30T00:00:00,2025-06-27,Trả cổ tức bằng tiền mặt,Cash Dividend,DCM
39816182,DCM - Trả cổ tức Cả năm năm 2023 bằng tiền 2000 đồng/cổ phiếu,DCM - Pay cash dividend 2023 - Year at VND 2000/share,2024-06-18,2024-07-11T00:00:00,http://fiinpro.com/News/Detail/11219983?lang=vi-vn,DIV,0.2,2000,2024-06-25T00:00:00,2024-06-24,Trả cổ tức bằng tiền mặt,Cash Dividend,DCM
15995404,DGC - Trả cổ tức Đợt 1 năm 2022 bằng tiền 3000 đồng/cổ phiếu,DGC - Pay cash dividend 2022 - Interim 1 at VND 3000/share,2022-12-07,2023-01-10T00:00:00,https://www.hsx.vn/Modules/Cms/Web/DownloadFile/27b85b1e-e99f-4829-b275-9794925e1779?ridx=1855145985,DIV,0.3,3000,2022-12-20T00:00:00,2022-12-19,Trả cổ tức bằng tiền mặt,Cash Dividend,DGC
20971096,DGC - Trả cổ tức Đợt 2 năm 2022 bằng tiền 1000 đồng/cổ phiếu,DGC - Pay cash dividend 2022 - Interim 2 at VND 1000/share,2023-04-07,2023-04-27T00:00:00,http://fiinpro.com/News/Detail/10745513?lang=vi-vn,DIV,0.1,1000,2023-04-14T00:00:00,2023-04-13,Trả cổ tức bằng tiền mặt,Cash Dividend,DGC
30944231,DGC - Trả cổ tức Đợt 1 năm 2023 bằng tiền 3000 đồng/cổ phiếu,DGC - Pay cash dividend 2023 - Interim 1 at VND 3000/share,2023-11-29,2024-01-18T00:00:00,http://fiinpro.com/News/Detail/11006634?lang=vi-vn,DIV,0.3,3000,2023-12-20T00:00:00,2023-12-19,Trả cổ tức bằng tiền mặt,Cash Dividend,DGC
46319296,DGC - Trả cổ tức Đợt 1 năm 2024 bằng tiền 3000 đồng/cổ phiếu,DGC - Pay cash dividend 2024 - Interim 1 at VND 3000/share,2024-10-30,2024-12-20T00:00:00,http://fiinpro.com/News/Detail/11364726?lang=vi-vn,DIV,0.3,3000,2024-11-20T00:00:00,2024-11-19,Trả cổ tức bằng tiền mặt,Cash Dividend,DGC
28757909,DGW - Trả cổ tức Cả năm năm 2022 bằng tiền 1000 đồng/cổ phiếu,DGW - Pay cash dividend 2022 - Year at VND 1000/share,2023-10-09,2023-10-25T00:00:00,http://fiinpro.com/News/Detail/10950171?lang=vi-vn,DIV,0.1,1000,2023-10-17T00:00:00,2023-10-16,Trả cổ tức bằng tiền mặt,Cash Dividend,DGW
43857633,DGW - Trả cổ tức Cả năm năm 2023 bằng tiền 500 đồng/cổ phiếu,DGW - Pay cash dividend 2023 - Year at VND 500/share,2024-09-11,2024-09-25T00:00:00,http://fiinpro.com/News/Detail/11315267?lang=vi-vn,DIV,0.05,500,2024-09-16T00:00:00,2024-09-13,Trả cổ tức bằng tiền mặt,Cash Dividend,DGW
56143064,DGW - Trả cổ tức Cả năm năm 2024 bằng tiền 500 đồng/cổ phiếu,DGW - Pay cash dividend 2024 - Year at VND 500/share,2025-05-15,2025-06-04T00:00:00,http://fiinpro.com/News/Detail/11573109?lang=vi-vn,DIV,0.05,500,2025-05-26T00:00:00,2025-05-23,Trả cổ tức bằng tiền mặt,Cash Dividend,DGW
50041458,DGW - Niêm yết bổ sung 2.000.000 cổ phiếu,"DGW- Lists additional 2,000,000 shares",2025-01-14,2025-01-07T00:00:00,http://fiinpro.com/News/Detail/11434506?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,DGW
29994907,"DGW - Niêm yết bổ sung 4,000,000 cổ phiếu","DGW- Lists additional 4,000,000 shares",2023-11-07,2023-11-03T00:00:00,http://fiinpro.com/News/Detail/10979289?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,DGW
9099800,"DGW - Niêm yết bổ sung 2,200,000 cổ phiếu","DGW- Lists additional 2,200,000 shares",2022-06-21,2023-04-07T00:00:00,http://fiinpro.com/News/Detail/10374467?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,DGW
45565070,DGW - Niêm yết bổ sung 50.115.426 cổ phiếu,"DGW- Lists additional 50,115,426 shares",2024-10-15,2024-10-10T00:00:00,http://fiinpro.com/News/Detail/11347806?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,DGW
25278240,"DGW - Giảm niêm yết 5,500 cổ phiếu","DGW - Decreases 5,500 listed shares",2023-07-21,2023-07-24T00:00:00,http://fiinpro.com/News/Detail/10873548?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,DGW
39136159,"DGW - Giảm niêm yết 19,700 cổ phiếu","DGW - Decreases 19,700 listed shares",2024-06-04,2024-06-05T00:00:00,http://fiinpro.com/News/Detail/11205031?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,DGW
43860526,DGW - Phát hành cổ phiếu trả cổ tức tỷ lệ 30%,DGW - Issues dividend shares at 30%,2024-09-11,2024-09-13T00:00:00,http://fiinpro.com/News/Detail/11315267?lang=vi-vn,ISS,0.3,0,2024-09-16T00:00:00,2024-09-13,Phát hành cổ phiếu,Share Issue,DGW
56402007,DIG - Phát hành cổ phiếu trả cổ tức tỷ lệ 6%,DIG - Issues dividend shares at 6%,2025-05-19,2025-05-29T00:00:00,http://fiinpro.com/News/Detail/11586631?lang=vi-vn,ISS,0.06,0,2025-05-30T00:00:00,2025-05-29,Phát hành cổ phiếu,Share Issue,DIG
58293526,DIG - Niêm yết bổ sung 36.579.196 cổ phiếu,"DIG- Lists additional 36,579,196 shares",2025-06-24,2025-06-24T00:00:00,https://www.hsx.vn/vi/tin-tuc/dig-thong-bao-ve-viec-niem-yet-va-giao-dich-co-phieu-thay-doi-niem-yet/2383351,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,DIG
25587795,DIG - Niêm yết bổ sung 15.000.000 cổ phiếu,"DIG - Lists additional 15,000,000 shares",2021-10-13,2023-09-06T00:00:00,http://fiinpro.com/News/Detail/10051870?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,DIG
437943,DIG - Niêm yết bổ sung 15.000.000 cổ phiếu,"DIG - Lists additional 15,000,000 shares",2021-10-13,2024-09-12T00:00:00,http://fiinpro.com/News/Detail/10051870?lang=vi-vn,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,DIG
26399098,DPM - Trả cổ tức Đợt 2 năm 2022 bằng tiền 3000 đồng/cổ phiếu,DPM - Pay cash dividend 2022 - Interim 2 at VND 3000/share,2023-08-15,2023-08-31T00:00:00,http://fiinpro.com/News/Detail/10896654?lang=vi-vn,DIV,0.3,3000,2023-08-23T00:00:00,2023-08-22,Trả cổ tức bằng tiền mặt,Cash Dividend,DPM
60186619,"DPM - Phát hành cổ phiếu thưởng tỷ lệ 73,7476%",DPM - Issues bonus shares at 73.7476%,2025-07-23,2025-08-07T00:00:00,http://fiinpro.com/News/Detail/11644965?lang=vi-vn,ISS,0.737476,0,2025-08-08T00:00:00,2025-08-07,Phát hành cổ phiếu,Share Issue,DPM
18672564,DPM - Trả cổ tức Đợt 1 năm 2022 bằng tiền 4000 đồng/cổ phiếu,DPM - Pay cash dividend 2022 - Interim 1 at VND 4000/share,2023-02-10,2023-03-22T00:00:00,http://fiinpro.com/News/Detail/10684806?lang=vi-vn,DIV,0.4,4000,2023-02-17T00:00:00,2023-02-16,Trả cổ tức bằng tiền mặt,Cash Dividend,DPM
42540709,DPM - Trả cổ tức Cả năm năm 2023 bằng tiền 2000 đồng/cổ phiếu,DPM - Pay cash dividend 2023 - Year at VND 2000/share,2024-08-15,2024-09-24T00:00:00,http://fiinpro.com/News/Detail/11290881?lang=vi-vn,DIV,0.2,2000,2024-08-22T00:00:00,2024-08-21,Trả cổ tức bằng tiền mặt,Cash Dividend,DPM
59138425,DPM - Trả cổ tức Cả năm năm 2024 bằng tiền 1500 đồng/cổ phiếu,DPM - Pay cash dividend 2024 - Year at VND 1500/share,2025-07-10,2025-09-03T00:00:00,http://fiinpro.com/News/Detail/11628386?lang=vi-vn,DIV,0.15,1500,2025-07-16T00:00:00,2025-07-15,Trả cổ tức bằng tiền mặt,Cash Dividend,DPM
47558614,DSE - Trả cổ tức Đợt 1 năm 2024 bằng tiền 500 đồng/cổ phiếu,DSE - Pay cash dividend 2024 - Interim 1 at VND 500/share,2024-11-25,2024-12-19T00:00:00,http://fiinpro.com/News/Detail/11387585?lang=vi-vn,DIV,0.05,500,2024-11-29T00:00:00,2024-11-28,Trả cổ tức bằng tiền mặt,Cash Dividend,DSE
40107450,DSE - Chính thức niêm yết trên HOSE,DSE - Officially lists on HOSE Stock Exchange,2024-06-24,2024-07-01T00:00:00,https://www.hsx.vn/Modules/Cms/Web/DownloadFile/a12041e2-2a6d-4c69-991f-d63a463bf220?ridx=262569778,NLIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết mới,New listing,DSE
6775144,"DXG - Niêm yết bổ sung 2,100,000 cổ phiếu","DXG- Lists additional 2,100,000 shares",2022-04-29,2025-03-10T00:00:00,https://www.hsx.vn/Modules/Cms/Web/DownloadFile/9a927ba1-158a-482d-b74a-7ed7d16c0e8b?ridx=342126129,AIS,0,0,1753-01-01T00:00:00,1753-01-01,Niêm yết thêm,Additional Listing,DXG
49156658,DXG - Phát hành cổ phiếu cho cổ đông hiện hữu tỷ lệ 24 : 5 giá 12.000 đồng/cp,"DXG - Issues additional shares for existing shareholders at 24 : 5 at VND 12,000/share",2024-12-27,2025-01-06T00:00:00,http://fiinpro.com/News/Detail/11419582?lang=vi-vn,ISS,0.20833333,0,2025-01-07T00:00:00,2025-01-06,Phát hành cổ phiếu,Share Issue,DXG
